review,sentiment
"Excellent product and very good quality",positive
"I really loved this product",positive
"Fast delivery and amazing service",positive
"The product is wonderful",positive
"Very happy with my purchase",positive
"Good quality and worth the money",positive
"Absolutely fantastic product",positive
"Very poor quality",negative
"I hated this product",negative
"Waste of money",negative
"Very bad experience",negative
"Product stopped working quickly",negative
"Delivery was very late",negative
"I am disappointed with this product",negative
"Terrible customer service",negative
